Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-713.719970703125
51,0.0,-338.5323181152344
52,0.0,-301.4320983886719
53,0.0,-284.1396484375
54,257.3731994628906,-151.13211059570312
55,146.25782775878906,-133.7187957763672
56,338.36370849609375,-32.786598205566406
57,318.5630798339844,-27.64806365966797
58,270.5220642089844,-18.615962982177734
59,251.7161102294922,-49.069942474365234
60,45.202964782714844,-199.42384338378906
61,0.0,-343.106689453125
62,0.0,-376.6835632324219
63,0.0,-383.1578674316406
64,0.0,-374.0882873535156
65,0.0,-324.1181335449219
66,0.0,-200.96542358398438
67,0.0,-44.257904052734375
68,418.58709716796875,-0.0
69,567.8804931640625,-0.0
70,430.3970947265625,-0.0
71,402.00872802734375,-0.0
72,371.0492248535156,-0.0
73,290.8720397949219,-0.0
74,294.78033447265625,-0.0
75,177.97293090820312,-0.0
76,156.10414123535156,-0.0
77,121.70198059082031,-0.0
78,46.386146545410156,-0.0
79,0.0,-352.00921630859375
80,0.0,-350.62042236328125
81,0.0,-317.5260925292969
82,0.0,-361.9456481933594
83,0.0,-332.4835205078125
84,0.0,-233.52122497558594
85,0.0,-151.8433074951172
86,286.4172668457031,-29.767776489257812
87,508.04205322265625,-0.0
88,458.2715148925781,-0.0
89,397.9399108886719,-0.0
90,405.84722900390625,-0.0
91,291.05792236328125,-0.0
92,263.1988830566406,-0.0
93,227.70330810546875,-0.0
94,155.16378784179688,-0.0
95,135.32281494140625,-0.0
96,87.02922821044922,-0.0
97,0.0,-285.4487609863281
98,0.0,-499.1685791015625
99,0.0,-405.84149169921875
100,0.0,-356.5152282714844
101,0.0,-365.9215393066406
102,0.0,-268.5772705078125
103,0.0,-215.69869995117188
104,0.0,-150.14576721191406
105,519.1567993164062,-45.702266693115234
106,566.006591796875,-0.0
107,423.28973388671875,-0.0
108,368.6884765625,-0.0
109,322.06829833984375,-0.0
110,275.8519287109375,-0.0
111,216.07919311523438,-0.0
112,202.64573669433594,-0.0
113,152.5264892578125,-0.0
114,137.31796264648438,-0.0
115,0.0,-766.5341186523438
116,0.0,-355.8943786621094
117,0.0,-643.7220458984375
118,0.0,-452.82598876953125
119,0.0,-312.0619201660156
120,0.0,-316.0684509277344
121,0.0,-234.06150817871094
122,0.0,-160.63644409179688
123,0.0,-153.25839233398438
124,592.2180786132812,-0.0
125,532.55810546875,-0.0
126,466.49737548828125,-0.0
127,362.64324951171875,-0.0
128,334.4609069824219,-0.0
129,287.94329833984375,-0.0
130,242.09263610839844,-0.0
131,191.98321533203125,-0.0
132,140.83717346191406,-0.0
133,87.229248046875,-0.0
134,0.0,-291.36627197265625
135,0.0,-317.73492431640625
136,0.0,-456.8857727050781
137,0.0,-345.25653076171875
138,0.0,-327.007568359375
139,0.0,-217.38829040527344
140,0.0,-153.37326049804688
141,259.9729919433594,-31.397897720336914
142,497.5007629394531,-0.0
143,474.9642028808594,-0.0
144,403.651611328125,-0.0
145,343.7358703613281,-0.0
146,344.71466064453125,-0.0
147,259.6192932128906,-0.0
148,158.9280548095703,-0.0
149,151.4403533935547,-0.0
150,133.68006896972656,-0.0
151,0.0,-243.23199462890625
152,0.0,-465.7558898925781
153,0.0,-440.4788818359375
154,0.0,-414.6024169921875
155,0.0,-367.1573486328125
156,0.0,-264.0673522949219
157,0.0,-188.76202392578125
158,0.0,-150.4899444580078
159,392.97528076171875,-31.400691986083984
160,476.9690856933594,-0.0
161,455.7054443359375,-0.0
162,393.74774169921875,-0.0
163,353.24774169921875,-0.0
164,370.84857177734375,-0.0
165,270.16156005859375,-0.0
166,150.3809051513672,-0.0
167,161.57154846191406,-0.0
168,85.41527557373047,-0.0
169,0.0,-308.15496826171875
