Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,98.85103607177734,-0.0
51,142.41757202148438,-229.83651733398438
52,118.93846893310547,-217.2486114501953
53,120.8781509399414,-254.51254272460938
54,183.61241149902344,-125.5509033203125
55,166.89727783203125,-158.60206604003906
56,186.23416137695312,-141.85003662109375
57,177.093505859375,-146.63253784179688
58,119.05560302734375,-221.3572540283203
59,85.56697082519531,-269.0234680175781
60,46.74884796142578,-288.4416809082031
61,7.919308662414551,-304.44305419921875
62,38.18313217163086,-235.15365600585938
63,212.68319702148438,-54.17192077636719
64,315.2490539550781,-15.364721298217773
65,339.51153564453125,-2.6122851371765137
66,329.9643249511719,-0.0
67,342.6154479980469,-0.0
68,277.1148376464844,-0.0
69,245.7039337158203,-0.0
70,105.90602111816406,-90.81050872802734
71,44.40852355957031,-198.8921356201172
72,0.0,-827.8443603515625
73,0.0,-656.1602783203125
74,0.0,-434.10833740234375
75,0.0,-132.64617919921875
76,0.0,-146.2579345703125
77,0.0,-142.2329559326172
78,0.0,-124.44577026367188
79,0.0,-0.0
80,389.3661804199219,-0.0
81,305.7198486328125,-0.0
82,292.9811706542969,-0.0
83,225.1800079345703,-0.0
84,423.3342590332031,-0.0
85,266.60333251953125,-0.0
86,232.36279296875,-0.0
87,159.44912719726562,-0.0
88,138.43165588378906,-0.0
89,64.82383728027344,-845.3692626953125
90,0.0,-554.4331665039062
91,0.0,-551.6895751953125
92,0.0,-434.0267639160156
93,0.0,-316.0240783691406
94,0.0,-213.7559814453125
95,0.0,-158.93197631835938
96,0.0,-102.14637756347656
97,370.12982177734375,-0.0
98,300.9808044433594,-0.0
99,504.07427978515625,-0.0
100,351.99993896484375,-0.0
101,320.2054443359375,-0.0
102,325.834716796875,-0.0
103,211.21487426757812,-0.0
104,151.62252807617188,-0.0
105,141.29885864257812,-0.0
106,66.4931869506836,-786.3397827148438
107,0.0,-518.45166015625
108,0.0,-522.1050415039062
109,0.0,-427.6625061035156
110,0.0,-307.8138732910156
111,0.0,-229.8665008544922
112,0.0,-146.52056884765625
113,0.0,-96.44683837890625
114,349.9894104003906,-0.0
115,400.8689880371094,-0.0
116,376.0890808105469,-0.0
117,369.0885009765625,-0.0
118,356.9468078613281,-0.0
119,327.1949157714844,-0.0
120,271.2403869628906,-0.0
121,152.33859252929688,-0.0
122,135.04747009277344,-0.0
123,0.0,-662.9262084960938
124,0.0,-470.9320068359375
125,0.0,-490.6528015136719
126,0.0,-417.90289306640625
127,0.0,-401.57049560546875
128,0.0,-167.4007110595703
129,0.0,-154.9791259765625
130,0.0,-70.1991958618164
131,347.9183044433594,-0.0
132,376.288330078125,-0.0
133,366.261962890625,-0.0
134,367.038330078125,-0.0
135,329.5967712402344,-0.0
136,252.08502197265625,-0.0
137,194.6166229248047,-0.0
138,152.3252716064453,-0.0
139,139.62350463867188,-0.0
140,40.13759231567383,-587.4071044921875
141,0.0,-551.5597534179688
142,0.0,-505.3097229003906
