Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-460.41351318359375
51,0.0,-420.89801025390625
52,0.0,-170.08839416503906
53,0.0,-0.0
54,366.4118347167969,-0.0
55,390.1025085449219,-0.0
56,344.69085693359375,-0.0
57,323.5129089355469,-0.0
58,293.5042724609375,-0.0
59,270.0470275878906,-0.0
60,143.04623413085938,-0.0
61,108.09770965576172,-0.0
62,126.37382507324219,-0.0
63,27.05909538269043,-647.9909057617188
64,0.0,-486.0396423339844
65,0.0,-472.4645080566406
66,0.0,-732.4478149414062
67,0.0,-383.15570068359375
68,0.0,-111.45197296142578
69,0.0,-44.5545654296875
70,373.074951171875,-0.0
71,470.0008850097656,-0.0
72,439.82025146484375,-0.0
73,338.2716064453125,-0.0
74,372.153076171875,-0.0
75,267.4256896972656,-0.0
76,243.4530792236328,-0.0
77,124.48302459716797,-0.0
78,140.2509002685547,-0.0
79,130.2300262451172,-0.0
80,0.0,-646.9906616210938
81,0.0,-319.9888000488281
82,0.0,-435.1343688964844
83,0.0,-425.8553161621094
84,0.0,-297.1163635253906
85,0.0,-246.5557098388672
86,0.0,-152.83575439453125
87,0.0,-147.58505249023438
88,453.18621826171875,-38.425472259521484
89,444.1540222167969,-0.0
90,504.2611083984375,-0.0
91,418.1892395019531,-0.0
92,390.04022216796875,-0.0
93,368.428955078125,-0.0
94,190.69369506835938,-0.0
95,164.2958984375,-0.0
96,151.15328979492188,-0.0
97,112.60009002685547,-338.77960205078125
98,0.0,-571.7774047851562
99,0.0,-399.7058410644531
100,0.0,-377.37554931640625
101,0.0,-394.2825927734375
102,0.0,-242.58316040039062
103,0.0,-174.1792755126953
104,0.0,-157.17576599121094
105,0.0,-126.57760620117188
106,701.8762817382812,-0.0
107,468.3075866699219,-0.0
108,394.50830078125,-0.0
109,353.9946594238281,-0.0
110,321.01678466796875,-0.0
111,239.23919677734375,-0.0
112,243.43678283691406,-0.0
113,155.88070678710938,-0.0
114,138.06301879882812,-0.0
115,0.0,-626.4259033203125
116,0.0,-483.6487731933594
117,0.0,-452.4968566894531
118,0.0,-381.7396240234375
119,0.0,-212.50885009765625
120,0.0,-161.8189239501953
121,0.0,-141.84268188476562
122,0.0,-93.57646179199219
123,592.0673828125,-0.0
124,467.3733215332031,-0.0
125,465.2773742675781,-0.0
126,438.04205322265625,-0.0
127,249.5137481689453,-0.0
128,264.5524597167969,-0.0
129,194.11099243164062,-0.0
130,150.31016540527344,-0.0
131,85.38263702392578,-0.0
132,0.0,-311.1186218261719
133,0.0,-430.4518127441406
134,0.0,-469.7021484375
135,0.0,-403.2066955566406
136,0.0,-340.5601501464844
137,0.0,-159.57003784179688
138,0.0,-147.50265502929688
139,388.183349609375,-16.878543853759766
140,478.85247802734375,-0.0
141,404.8943176269531,-0.0
142,444.5440368652344,-0.0
143,412.2839050292969,-0.0
144,304.1395568847656,-0.0
145,183.56243896484375,-0.0
146,169.62954711914062,-0.0
147,134.45497131347656,-0.0
148,39.14919662475586,-0.0
149,0.0,-262.6873779296875
150,0.0,-415.0908508300781
151,0.0,-469.3567199707031
152,0.0,-367.0807800292969
153,0.0,-196.8647003173828
154,0.0,-160.0149383544922
155,465.3103332519531,-52.9431266784668
