Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-420.42755126953125
51,0.0,-281.72381591796875
52,257.43743896484375,-157.17662048339844
53,195.32899475097656,-66.28343200683594
54,226.5044708251953,-30.665306091308594
55,57.7765998840332,-184.97955322265625
56,16.946277618408203,-258.2259216308594
57,0.0,-298.0408020019531
58,0.0,-330.0977478027344
59,0.0,-228.4218292236328
60,0.0,-294.6343078613281
61,0.0,-213.12399291992188
62,175.08978271484375,-91.26158905029297
63,468.4553527832031,-0.0
64,525.2074584960938,-0.0
65,442.97900390625,-0.0
66,260.6537170410156,-0.0
67,197.85401916503906,-0.0
68,22.320735931396484,-0.0
69,0.0,-189.3812713623047
70,0.0,-439.72161865234375
71,0.0,-353.3281555175781
72,0.0,-413.72247314453125
73,0.0,-275.2586669921875
74,0.0,-182.9359588623047
75,0.0,-166.26365661621094
76,452.53253173828125,-0.0
77,685.3447265625,-0.0
78,526.2905883789062,-0.0
79,394.65228271484375,-0.0
80,231.74722290039062,-0.0
81,0.0,-0.0
82,0.0,-133.13241577148438
83,0.0,-330.26385498046875
84,0.0,-333.5873718261719
85,0.0,-323.77557373046875
86,0.0,-279.7951965332031
87,0.0,-246.17965698242188
88,286.101806640625,-86.44094848632812
89,636.0150146484375,-0.0
90,550.9173583984375,-0.0
91,417.07952880859375,-0.0
92,305.7792053222656,-0.0
93,111.73688507080078,-0.0
94,79.74574279785156,-0.0
95,0.0,-673.9343872070312
96,0.0,-361.30389404296875
97,0.0,-330.9178466796875
98,0.0,-356.64813232421875
99,0.0,-355.4791259765625
100,0.0,-296.2415466308594
101,0.0,-215.64524841308594
102,0.0,-84.30891418457031
103,434.86749267578125,-0.0
104,512.2174072265625,-0.0
105,436.9288330078125,-0.0
106,277.0625,-0.0
107,141.52655029296875,-0.0
108,88.3292465209961,-0.0
109,0.0,-375.3716125488281
110,0.0,-673.0598754882812
111,0.0,-398.2317810058594
112,0.0,-404.9627380371094
113,0.0,-348.5380859375
114,0.0,-323.9674377441406
115,0.0,-280.5296325683594
116,0.0,-128.055419921875
117,232.02395629882812,-50.112361907958984
118,558.9717407226562,-0.0
119,468.56317138671875,-0.0
120,351.3966064453125,-0.0
121,177.4515838623047,-0.0
122,97.5943832397461,-0.0
123,0.0,-523.8539428710938
124,0.0,-741.3922119140625
125,0.0,-346.6482238769531
126,0.0,-379.8024597167969
127,0.0,-321.9632568359375
128,0.0,-214.2008056640625
129,0.0,-197.21298217773438
130,0.0,-83.70375061035156
131,536.365478515625,-0.0
132,499.97467041015625,-0.0
133,361.3985290527344,-0.0
134,178.45892333984375,-0.0
135,73.19297790527344,-114.45365142822266
136,0.0,-446.3395690917969
137,0.0,-394.2774353027344
138,0.0,-410.74072265625
139,0.0,-386.764892578125
140,0.0,-349.5262145996094
141,0.0,-192.37649536132812
142,0.0,-150.8443603515625
143,715.0650024414062,-12.099531173706055
144,464.7172546386719,-0.0
145,396.25201416015625,-0.0
146,251.4151153564453,-0.0
147,140.0550994873047,-0.0
148,30.069082260131836,-0.0
149,0.0,-287.342041015625
150,0.0,-402.22344970703125
151,0.0,-425.5276184082031
152,0.0,-382.90716552734375
153,0.0,-304.578125
154,0.0,-249.93702697753906
155,0.0,-146.04010009765625
156,835.8101806640625,-49.41709518432617
157,536.2427978515625,-0.0
158,423.7999572753906,-0.0
159,338.4808654785156,-0.0
160,187.56858825683594,-0.0
161,123.63898468017578,-0.0
162,0.0,-372.4781188964844
163,0.0,-332.7835693359375
164,0.0,-414.8859558105469
165,0.0,-348.15325927734375
166,0.0,-368.2675476074219
167,0.0,-329.97943115234375
168,0.0,-179.8727569580078
169,0.0,-133.1050567626953
170,679.1102294921875,-0.8461639285087585
171,484.0286865234375,-0.0
172,376.1861877441406,-0.0
173,332.4028625488281,-0.0
174,127.7406005859375,-0.0
175,18.826936721801758,-0.0
176,0.0,-317.23944091796875
177,0.0,-438.8504638671875
178,0.0,-382.951171875
179,0.0,-342.64984130859375
180,0.0,-296.48382568359375
181,0.0,-239.52853393554688
182,0.0,-190.76507568359375
183,216.58404541015625,-108.91392517089844
184,508.79205322265625,-0.0
185,481.0173034667969,-0.0
186,323.1389465332031,-0.0
187,243.38909912109375,-0.0
188,147.73707580566406,-0.0
189,76.97229766845703,-0.0
190,0.0,-272.9329528808594
191,0.0,-487.7579345703125
192,0.0,-394.49462890625
193,0.0,-399.567138671875
194,0.0,-341.4239501953125
195,0.0,-286.0615539550781
196,0.0,-167.39404296875
197,0.0,-114.5573501586914
198,600.7769775390625,-22.02074432373047
199,562.7891845703125,-0.0
200,404.8939208984375,-0.0
201,228.96749877929688,-0.0
202,154.50218200683594,-0.0
203,138.53993225097656,-0.0
204,0.0,-374.94146728515625
205,0.0,-450.49676513671875
206,0.0,-444.3016662597656
207,0.0,-406.49725341796875
208,0.0,-384.9857482910156
209,0.0,-334.5800476074219
210,0.0,-253.18492126464844
211,0.0,-135.2425079345703
212,0.0,-77.35692596435547
213,875.8101196289062,-0.0
214,456.52166748046875,-0.0
215,302.79168701171875,-0.0
216,182.7870635986328,-0.0
217,101.96758270263672,-0.0
218,0.0,-320.45684814453125
219,0.0,-479.9989318847656
220,0.0,-426.9559020996094
221,0.0,-382.25152587890625
222,0.0,-335.89007568359375
223,0.0,-285.66925048828125
224,0.0,-178.05833435058594
225,0.0,-107.27085876464844
226,531.428466796875,-0.0
227,434.0733642578125,-0.0
228,398.1794738769531,-0.0
229,310.3687744140625,-0.0
230,149.62583923339844,-0.0
231,14.25521183013916,-192.98487854003906
232,0.0,-614.1109619140625
233,0.0,-480.4651794433594
234,0.0,-380.12603759765625
235,0.0,-407.2504577636719
236,0.0,-370.9940185546875
237,0.0,-271.7378845214844
238,0.0,-154.3182373046875
239,0.0,-130.97254943847656
240,222.57278442382812,-0.0
241,475.8284912109375,-0.0
242,388.49786376953125,-0.0
243,270.48236083984375,-0.0
244,164.42430114746094,-0.0
245,110.3499984741211,-0.0
246,43.337100982666016,-221.75868225097656
247,0.0,-495.6632995605469
248,0.0,-441.5726623535156
249,0.0,-406.18499755859375
250,0.0,-367.754638671875
251,0.0,-373.393798828125
252,0.0,-271.95538330078125
253,0.0,-144.27488708496094
254,556.4479370117188,-46.59869384765625
255,504.5672912597656,-0.0
256,456.2799377441406,-0.0
257,262.7550964355469,-0.0
258,160.75071716308594,-0.0
259,116.55500793457031,-0.0
260,0.0,-372.3243408203125
261,0.0,-385.22491455078125
262,0.0,-387.980712890625
263,0.0,-344.13360595703125
264,0.0,-436.3254089355469
265,0.0,-270.9400939941406
266,0.0,-254.97686767578125
267,0.0,-130.34007263183594
268,1151.9774169921875,-0.0
269,538.116455078125,-0.0
270,449.4903564453125,-0.0
271,272.851806640625,-0.0
272,157.41525268554688,-0.0
273,78.02638244628906,-0.0
274,0.0,-359.5370788574219
275,0.0,-335.14794921875
276,0.0,-349.25335693359375
277,0.0,-409.16436767578125
278,0.0,-436.4611511230469
279,0.0,-353.94525146484375
280,0.0,-214.15274047851562
281,0.0,-160.67214965820312
282,285.66845703125,-42.143104553222656
283,508.0694580078125,-0.0
284,460.7917785644531,-0.0
285,237.6162109375,-0.0
286,123.8478775024414,-0.0
287,83.52967071533203,-0.0
288,0.0,-341.9041748046875
289,0.0,-456.6026611328125
290,0.0,-405.4931640625
291,0.0,-389.84619140625
292,0.0,-375.5213623046875
293,0.0,-312.33172607421875
294,0.0,-281.9228210449219
295,0.0,-155.21376037597656
