Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-348.10076904296875
51,0.0,-269.6925964355469
52,0.0,-30.77460479736328
53,231.72854614257812,-0.0
54,466.702880859375,-0.0
55,447.7099914550781,-0.0
56,356.6581115722656,-0.0
57,275.3031921386719,-0.0
58,121.61231994628906,-0.0
59,0.0,-0.0
60,0.0,-0.0
61,0.0,-0.0
62,0.0,-741.1956176757812
63,0.0,-344.3395080566406
64,0.0,-626.2081909179688
65,0.0,-599.2461547851562
66,0.0,-539.0302124023438
67,0.0,-503.8404846191406
68,0.0,-419.3855895996094
69,0.0,-295.5680236816406
70,0.0,-114.04664611816406
71,437.3626708984375,-0.0
72,649.1810302734375,-0.0
73,457.64984130859375,-0.0
74,388.82257080078125,-0.0
75,255.5809783935547,-0.0
76,62.79994201660156,-0.0
77,0.0,-0.0
78,0.0,-0.0
79,0.0,-0.0
80,0.0,-499.2662353515625
81,0.0,-513.8129272460938
82,0.0,-523.0497436523438
83,0.0,-481.7590637207031
84,0.0,-442.2216796875
85,0.0,-442.1086730957031
86,0.0,-312.39727783203125
87,0.0,-182.61676025390625
88,0.0,-3.823760509490967
89,788.526123046875,-0.0
90,532.227294921875,-0.0
91,419.0923156738281,-0.0
92,348.5564270019531,-0.0
93,96.02603149414062,-0.0
94,0.0,-0.0
95,0.0,-0.0
96,0.0,-188.03170776367188
97,0.0,-473.81378173828125
98,0.0,-482.78631591796875
99,0.0,-489.26568603515625
100,0.0,-464.9002685546875
101,0.0,-483.0873107910156
102,0.0,-399.3601379394531
103,0.0,-311.2447204589844
104,0.0,-163.42730712890625
105,0.0,-36.05742645263672
106,520.8013305664062,-0.0
107,517.8720703125,-0.0
108,431.778564453125,-0.0
109,297.0700378417969,-0.0
110,120.35113525390625,-0.0
111,0.0,-0.0
112,0.0,-0.0
113,0.0,-0.0
114,0.0,-426.84429931640625
115,0.0,-536.7481689453125
116,0.0,-562.9439086914062
117,0.0,-497.0253601074219
118,0.0,-453.6427001953125
119,0.0,-381.4131774902344
120,0.0,-286.4901428222656
121,0.0,-126.6804428100586
122,0.0,-0.0
123,649.8758544921875,-0.0
124,505.03607177734375,-0.0
125,411.89166259765625,-0.0
126,334.2371826171875,-0.0
127,56.9575309753418,-0.0
128,0.0,-0.0
129,0.0,-0.0
130,0.0,-0.0
131,0.0,-486.2032470703125
132,0.0,-529.6396484375
133,0.0,-522.852294921875
134,0.0,-540.3251342773438
135,0.0,-514.1672973632812
136,0.0,-405.495849609375
137,0.0,-281.0887145996094
138,0.0,-177.6830596923828
139,0.0,-56.36969757080078
140,0.0,-0.0
141,401.7991943359375,-0.0
142,463.5309753417969,-0.0
143,327.61102294921875,-0.0
144,136.69049072265625,-0.0
145,0.0,-0.0
146,0.0,-0.0
147,0.0,-203.78677368164062
148,0.0,-509.03692626953125
149,0.0,-524.102294921875
150,0.0,-578.8478393554688
151,0.0,-496.4526672363281
152,0.0,-467.66314697265625
153,0.0,-358.73419189453125
154,0.0,-286.5740051269531
155,0.0,-70.87971496582031
156,234.82003784179688,-0.0
157,453.4843444824219,-0.0
158,467.77056884765625,-0.0
159,387.41937255859375,-0.0
160,246.38565063476562,-0.0
161,47.659568786621094,-0.0
162,0.0,-0.0
163,0.0,-0.0
164,0.0,-584.827880859375
165,0.0,-567.215087890625
166,0.0,-547.1858520507812
167,0.0,-514.5035400390625
168,0.0,-469.50811767578125
169,0.0,-424.4617004394531
170,0.0,-312.47235107421875
171,0.0,-205.70632934570312
172,0.0,-67.89290618896484
173,368.3424377441406,-0.0
174,451.252685546875,-0.0
175,425.75616455078125,-0.0
176,319.28533935546875,-0.0
177,201.19374084472656,-0.0
178,14.499526023864746,-0.0
179,0.0,-0.0
180,0.0,-0.0
181,0.0,-373.26959228515625
