Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-194.0196533203125
51,339.33660888671875,-0.0
52,444.4488525390625,-0.0
53,372.8974304199219,-0.0
54,314.61090087890625,-0.0
55,290.8189392089844,-0.0
56,256.057373046875,-0.0
57,160.91729736328125,-0.0
58,0.0,-0.0
59,0.0,-0.0
60,0.0,-309.3865051269531
61,0.0,-361.1678161621094
62,0.0,-488.5152282714844
63,0.0,-384.5333557128906
64,0.0,-314.85357666015625
65,0.0,-236.0802459716797
66,0.0,-79.96845245361328
67,427.1307067871094,-7.298795700073242
68,674.9818115234375,-0.0
69,1274.010498046875,-0.0
70,213.9024200439453,-0.0
71,134.83621215820312,-0.0
72,108.41499328613281,-0.0
73,69.19424438476562,-0.0
74,0.0,-440.64288330078125
75,0.0,-497.9048156738281
76,0.0,-473.2882080078125
77,0.0,-387.51220703125
78,0.0,-350.8490905761719
79,0.0,-246.18670654296875
80,0.0,-328.3349304199219
81,0.0,-172.1663055419922
82,0.0,-106.8129653930664
83,405.1473693847656,-0.0
84,414.80499267578125,-0.0
85,298.9308776855469,-0.0
86,310.4101257324219,-0.0
87,207.2065887451172,-0.0
88,96.912109375,-0.0
89,77.64061737060547,-284.6614685058594
90,0.0,-553.11474609375
91,0.0,-509.17230224609375
92,0.0,-416.97198486328125
93,0.0,-352.7989807128906
94,0.0,-326.5322570800781
95,0.0,-234.32884216308594
96,0.0,-148.38299560546875
97,0.0,-66.72329711914062
98,294.446044921875,-0.0
99,474.4152526855469,-0.0
100,324.9544982910156,-0.0
101,274.5927429199219,-0.0
102,256.2980041503906,-0.0
103,112.70684051513672,-0.0
104,3.548396110534668,-484.63592529296875
105,0.0,-479.7580261230469
106,0.0,-511.32574462890625
107,0.0,-402.5946960449219
108,0.0,-357.0135192871094
109,0.0,-259.84661865234375
110,0.0,-165.01222229003906
111,0.0,-128.88790893554688
112,362.4333190917969,-0.0
113,394.58392333984375,-0.0
114,418.4716796875,-0.0
115,357.9071960449219,-0.0
116,291.7803649902344,-0.0
117,245.5157012939453,-0.0
118,176.744873046875,-0.0
119,117.92601013183594,-0.0
120,0.0,-660.42236328125
121,0.0,-469.38787841796875
122,0.0,-436.6441345214844
123,0.0,-401.3686218261719
124,0.0,-309.3415222167969
125,0.0,-165.61453247070312
126,0.0,-158.19741821289062
127,110.27690124511719,-100.24845886230469
128,701.026123046875,-0.0
129,419.6680908203125,-0.0
130,370.56085205078125,-0.0
131,354.9833068847656,-0.0
132,274.6430969238281,-0.0
133,192.566162109375,-0.0
134,83.82964324951172,-0.0
135,0.0,-311.94305419921875
136,0.0,-459.5198974609375
137,0.0,-396.5804443359375
138,0.0,-405.0333557128906
139,0.0,-282.443603515625
140,0.0,-206.17515563964844
141,0.0,-125.78333282470703
142,348.2946472167969,-9.304408073425293
143,438.73175048828125,-0.0
144,412.6103820800781,-0.0
145,329.015625,-0.0
146,315.2633361816406,-0.0
147,208.1552734375,-0.0
148,90.88080596923828,-0.0
149,0.0,-727.3547973632812
150,0.0,-491.735595703125
151,0.0,-439.888427734375
152,0.0,-410.6101379394531
153,0.0,-259.96173095703125
154,0.0,-193.65597534179688
155,0.0,-141.7625732421875
156,327.20587158203125,-45.704593658447266
157,473.9443359375,-0.0
158,447.3595275878906,-0.0
159,451.778564453125,-0.0
160,303.8145751953125,-0.0
161,224.669189453125,-0.0
162,122.21875,-0.0
163,69.0589828491211,-0.0
164,0.0,-560.8909912109375
165,0.0,-582.0342407226562
166,0.0,-507.22540283203125
167,0.0,-393.163818359375
