Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,114.99231719970703,-267.8714294433594
51,124.26759338378906,-331.32275390625
52,131.80006408691406,-252.47816467285156
53,39.12615966796875,-280.89739990234375
54,66.98696899414062,-179.13687133789062
55,34.19656753540039,-232.31103515625
56,103.62993621826172,-183.58773803710938
57,117.20167541503906,-147.48887634277344
58,257.6925048828125,-88.09578704833984
59,299.39276123046875,-19.239686965942383
60,176.55679321289062,-127.55303192138672
61,12.900485038757324,-243.53726196289062
62,32.65760040283203,-231.65354919433594
63,137.883056640625,-212.90264892578125
64,209.36778259277344,-111.59661102294922
65,213.81124877929688,-75.21302795410156
66,285.7312316894531,-0.0
67,445.23272705078125,-0.0
68,392.7237854003906,-0.0
69,251.78890991210938,-0.0
70,57.36773681640625,-216.25526428222656
71,0.0,-561.9065551757812
72,0.0,-443.7507019042969
73,0.0,-371.421630859375
74,0.0,-270.9053649902344
75,0.0,-165.52720642089844
76,0.0,-102.08197784423828
77,319.92718505859375,-0.0
78,336.6297607421875,-0.0
79,377.98919677734375,-0.0
80,228.70419311523438,-0.0
81,64.95651245117188,-0.0
82,0.0,-283.2329406738281
83,0.0,-539.7651977539062
84,0.0,-401.69805908203125
85,0.0,-392.6217041015625
86,0.0,-258.35089111328125
87,0.0,-170.19114685058594
88,0.0,-130.97314453125
89,580.6574096679688,-0.0
90,438.3978271484375,-0.0
91,402.0083312988281,-0.0
92,266.520263671875,-0.0
93,117.6162109375,-0.0
94,0.0,-551.879638671875
95,0.0,-507.6384582519531
96,0.0,-409.40924072265625
97,0.0,-345.21270751953125
98,0.0,-269.3128662109375
99,0.0,-164.2918243408203
100,0.0,-152.52455139160156
101,281.41748046875,-0.0
102,439.0723571777344,-0.0
103,429.4669189453125,-0.0
104,249.15139770507812,-0.0
105,85.48966217041016,-0.0
106,13.338639259338379,-614.9378051757812
107,0.0,-516.4129028320312
108,0.0,-454.5167541503906
109,0.0,-335.5007629394531
110,0.0,-228.94720458984375
111,0.0,-166.35543823242188
112,500.36376953125,-79.18367767333984
113,559.40625,-0.0
114,425.73046875,-0.0
115,284.1001281738281,-0.0
116,180.65814208984375,-0.0
117,143.3059844970703,-0.0
118,37.26565933227539,-498.14697265625
119,0.0,-450.3528137207031
120,0.0,-444.44775390625
121,0.0,-372.5158386230469
122,0.0,-259.7162170410156
123,0.0,-188.4705352783203
124,0.0,-138.36622619628906
125,696.1005859375,-0.0
126,472.1009216308594,-0.0
127,386.7317810058594,-0.0
128,292.18341064453125,-0.0
129,153.6487274169922,-0.0
130,52.06303024291992,-0.0
131,0.0,-495.04388427734375
132,0.0,-472.9494934082031
133,0.0,-401.7832336425781
134,0.0,-391.3172302246094
135,0.0,-281.0267333984375
136,0.0,-157.36538696289062
137,0.0,-123.46784973144531
138,415.9280700683594,-0.0
139,453.7182312011719,-0.0
140,449.4482421875,-0.0
141,255.67352294921875,-0.0
142,141.8201446533203,-0.0
143,0.0,-305.05718994140625
144,0.0,-547.6863403320312
145,0.0,-478.3267822265625
146,0.0,-423.09417724609375
147,0.0,-361.9131774902344
148,0.0,-187.61619567871094
149,0.0,-77.59651184082031
150,430.7585144042969,-0.0
151,367.1331481933594,-0.0
152,354.86376953125,-0.0
153,222.77857971191406,-0.0
154,115.71231842041016,-0.0
155,10.580028533935547,-533.2060546875
156,0.0,-533.35986328125
157,0.0,-503.8713073730469
158,0.0,-350.446044921875
159,0.0,-166.60617065429688
160,0.0,-151.8453369140625
161,346.46875,-56.78649139404297
162,451.0579528808594,-0.0
163,479.54400634765625,-0.0
164,383.77056884765625,-0.0
165,185.25225830078125,-0.0
166,117.77873229980469,-0.0
167,0.0,-308.3587341308594
168,0.0,-458.5237121582031
169,0.0,-464.15667724609375
170,0.0,-361.5242004394531
171,0.0,-302.972900390625
172,0.0,-261.7753601074219
173,0.0,-147.15782165527344
174,0.0,-47.03368377685547
175,442.72772216796875,-0.0
176,400.8448486328125,-0.0
177,347.6037902832031,-0.0
178,211.38079833984375,-0.0
179,52.701576232910156,-0.0
180,0.0,-414.91961669921875
181,0.0,-535.6661987304688
182,0.0,-443.1097412109375
183,0.0,-308.8424072265625
184,0.0,-245.81427001953125
185,0.0,-161.69313049316406
186,0.0,-141.36268615722656
187,433.7838134765625,-0.0
188,489.7685546875,-0.0
189,385.48370361328125,-0.0
190,350.2364807128906,-0.0
191,108.74837493896484,-0.0
192,0.0,-457.4163513183594
193,0.0,-473.21990966796875
194,0.0,-399.1054992675781
195,0.0,-337.6318054199219
196,0.0,-242.38848876953125
197,0.0,-197.2474822998047
198,0.0,-166.18292236328125
199,350.6311950683594,-0.0
200,519.5520629882812,-0.0
201,433.05377197265625,-0.0
202,351.3152770996094,-0.0
203,230.50851440429688,-0.0
204,99.00455474853516,-0.0
205,0.0,-736.8447265625
206,0.0,-508.2890625
207,0.0,-470.78240966796875
208,0.0,-374.8311462402344
209,0.0,-237.13328552246094
210,0.0,-171.45933532714844
211,0.0,-126.55482482910156
212,517.0792846679688,-0.0
213,434.4666442871094,-0.0
214,363.1232604980469,-0.0
215,155.01478576660156,-0.0
216,65.01278686523438,-0.0
217,0.0,-472.4936828613281
218,0.0,-498.94097900390625
219,0.0,-439.87127685546875
220,0.0,-353.1791076660156
221,0.0,-240.38150024414062
222,0.0,-155.76158142089844
223,285.4309997558594,-54.509185791015625
224,505.0671081542969,-0.0
225,423.8119201660156,-0.0
226,263.4457702636719,-0.0
227,122.0773696899414,-0.0
228,29.805814743041992,-232.0228271484375
229,0.0,-470.33489990234375
230,0.0,-473.57794189453125
231,0.0,-389.4769287109375
232,0.0,-277.2645263671875
233,0.0,-188.40882873535156
234,115.51765441894531,-127.58344268798828
235,493.53839111328125,-0.0
236,376.5252685546875,-0.0
237,397.8118591308594,-0.0
238,235.3209228515625,-0.0
239,121.07122039794922,-0.0
240,0.0,-546.2301635742188
241,0.0,-485.1209716796875
242,0.0,-413.5401306152344
243,0.0,-378.65496826171875
244,0.0,-241.67637634277344
245,0.0,-156.57334899902344
246,315.2185363769531,-40.08451843261719
247,477.80474853515625,-0.0
248,432.7188415527344,-0.0
249,364.80181884765625,-0.0
250,153.1256866455078,-0.0
251,46.9578742980957,-0.0
252,0.0,-562.1801147460938
253,0.0,-456.20751953125
254,0.0,-382.6493835449219
255,0.0,-276.99237060546875
256,0.0,-212.4392547607422
257,0.0,-155.4544219970703
258,293.2655029296875,-54.11603546142578
259,400.8628845214844,-0.0
260,436.3238830566406,-0.0
261,303.56524658203125,-0.0
262,173.61111450195312,-0.0
263,77.44232177734375,-0.0
264,0.0,-519.7955322265625
265,0.0,-455.1982421875
266,0.0,-417.7454528808594
267,0.0,-300.527099609375
268,0.0,-156.5514373779297
269,125.22125244140625,-154.6709442138672
270,567.4943237304688,-0.0
271,483.1865234375,-0.0
272,442.5161437988281,-0.0
273,283.4184265136719,-0.0
274,134.8345489501953,-0.0
275,0.0,-0.0
276,0.0,-555.2644653320312
277,0.0,-411.74969482421875
278,0.0,-390.4130554199219
279,0.0,-315.970703125
280,0.0,-204.2035369873047
281,0.0,-160.44281005859375
282,119.31878662109375,-109.30628967285156
283,463.9381408691406,-0.0
284,411.0762939453125,-0.0
285,355.02838134765625,-0.0
286,208.07559204101562,-0.0
287,120.1335220336914,-0.0
288,0.0,-495.613037109375
289,0.0,-502.2110900878906
290,0.0,-423.0435791015625
291,0.0,-364.4461669921875
292,0.0,-277.8529052734375
293,0.0,-178.35960388183594
294,0.0,-156.60511779785156
295,363.3371276855469,-0.0
296,411.73876953125,-0.0
297,398.6092224121094,-0.0
298,232.7837677001953,-0.0
299,73.44580078125,-0.0
300,0.0,-586.3429565429688
301,0.0,-515.6024169921875
302,0.0,-398.7120666503906
303,0.0,-288.718017578125
304,0.0,-214.964599609375
305,0.0,-151.59823608398438
306,492.0610046386719,-0.0
307,418.105712890625,-0.0
308,415.4395446777344,-0.0
309,298.09466552734375,-0.0
310,128.1562042236328,-0.0
311,24.191364288330078,-214.64111328125
312,0.0,-443.7784118652344
313,0.0,-454.4462585449219
314,0.0,-446.2037658691406
315,0.0,-335.5555419921875
316,0.0,-223.64437866210938
317,0.0,-158.8473358154297
318,263.6156921386719,-18.70384979248047
319,440.02032470703125,-0.0
320,433.064208984375,-0.0
321,360.1060485839844,-0.0
322,157.4124755859375,-0.0
323,88.15731811523438,-0.0
324,0.0,-519.1751708984375
325,0.0,-499.83148193359375
326,0.0,-363.0110778808594
327,0.0,-359.369384765625
328,0.0,-206.42654418945312
329,0.0,-147.28729248046875
330,499.07275390625,-0.0
331,418.7542419433594,-0.0
332,472.85723876953125,-0.0
333,320.0262451171875,-0.0
334,124.31473541259766,-0.0
335,0.0,-238.3823699951172
336,0.0,-436.96685791015625
337,0.0,-467.92913818359375
338,0.0,-367.48419189453125
339,0.0,-246.6267547607422
340,0.0,-210.468505859375
341,0.0,-153.64024353027344
342,355.6764221191406,-1.4294480085372925
343,553.6626586914062,-0.0
344,464.8372802734375,-0.0
345,356.7576904296875,-0.0
346,197.69961547851562,-0.0
347,114.23876190185547,-0.0
348,0.0,-308.0649719238281
349,0.0,-436.1527099609375
350,0.0,-407.6893310546875
351,0.0,-384.1470642089844
352,0.0,-220.53981018066406
353,0.0,-162.7332305908203
354,148.39256286621094,-147.92620849609375
355,582.7152099609375,-0.0
356,437.7473449707031,-0.0
357,367.859619140625,-0.0
358,225.9914093017578,-0.0
359,147.9360809326172,-0.0
360,0.0,-539.7958374023438
361,0.0,-525.83544921875
362,0.0,-440.27532958984375
363,0.0,-385.07171630859375
364,0.0,-252.482177734375
365,0.0,-169.7747802734375
366,0.0,-142.99598693847656
367,583.9966430664062,-0.0
368,402.6730651855469,-0.0
369,397.34735107421875,-0.0
370,207.2589569091797,-0.0
371,111.11375427246094,-0.0
372,0.0,-670.1131591796875
373,0.0,-516.0664672851562
374,0.0,-439.0767517089844
375,0.0,-376.0461730957031
376,0.0,-269.1668701171875
377,0.0,-142.86398315429688
378,226.0530242919922,-30.2948055267334
379,512.1310424804688,-0.0
380,459.53497314453125,-0.0
381,313.54254150390625,-0.0
382,154.87574768066406,-0.0
383,92.42169952392578,-0.0
384,0.0,-452.4703369140625
385,0.0,-493.13421630859375
386,0.0,-390.8726501464844
387,0.0,-321.6195068359375
388,0.0,-210.03147888183594
389,0.0,-151.05889892578125
390,361.5461120605469,-11.988092422485352
391,501.9598388671875,-0.0
392,440.2211608886719,-0.0
393,287.2421875,-0.0
394,146.21127319335938,-0.0
395,28.717487335205078,-0.0
396,0.0,-438.1162109375
397,0.0,-507.3813781738281
398,0.0,-405.59912109375
399,0.0,-310.3111877441406
400,0.0,-272.1006774902344
401,0.0,-158.2932891845703
402,0.0,-116.26177978515625
403,538.491943359375,-0.0
