Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,6.100035190582275,-417.56195068359375
51,0.0,-302.6651306152344
52,473.6636657714844,-154.6942138671875
53,270.9480895996094,-20.587596893310547
54,347.55023193359375,-0.0
55,482.3753967285156,-0.0
56,304.9058532714844,-0.0
57,258.64361572265625,-0.0
58,185.71807861328125,-0.0
59,145.0615234375,-0.0
60,0.0,-749.9973754882812
61,0.0,-704.5413208007812
62,0.0,-353.6280517578125
63,0.0,-311.6298522949219
64,0.0,-284.5325012207031
65,0.0,-287.07135009765625
66,0.0,-84.4283218383789
67,452.042236328125,-0.0
68,625.6480102539062,-0.0
69,357.792236328125,-0.0
70,288.668212890625,-0.0
71,359.5489501953125,-0.0
72,298.08953857421875,-0.0
73,242.83802795410156,-0.0
74,402.348388671875,-0.0
75,5.648563385009766,-687.9691162109375
76,0.0,-358.5340881347656
77,0.0,-405.6224365234375
78,0.0,-292.232177734375
79,0.0,-283.82867431640625
80,0.0,-312.8190612792969
81,0.0,-278.93865966796875
82,0.0,-139.59652709960938
83,399.2153625488281,-0.0
84,381.3694763183594,-0.0
85,306.50286865234375,-0.0
86,311.8733825683594,-0.0
87,273.45758056640625,-0.0
88,275.50140380859375,-0.0
89,269.1966552734375,-0.0
90,147.096435546875,-0.0
91,4.283634662628174,-892.5616455078125
92,0.0,-432.58642578125
93,0.0,-327.83929443359375
94,0.0,-334.78131103515625
95,0.0,-330.3226013183594
96,0.0,-206.75022888183594
97,0.0,-161.57518005371094
98,293.7191162109375,-96.47209930419922
99,690.4157104492188,-0.0
100,335.71099853515625,-0.0
101,290.4073486328125,-0.0
102,293.88287353515625,-0.0
103,273.0929260253906,-0.0
104,262.2773742675781,-0.0
105,244.31912231445312,-0.0
106,151.37672424316406,-0.0
107,0.0,-830.6821899414062
108,0.0,-418.326416015625
109,0.0,-346.5333557128906
110,0.0,-289.6385498046875
111,0.0,-278.446044921875
112,0.0,-163.78555297851562
113,429.69378662109375,-76.35472869873047
114,527.458251953125,-0.0
