Timestep,Left_Foot_Force_N,Right_Foot_Force_N
50,0.0,-399.135009765625
51,0.0,-295.07781982421875
52,0.0,-160.65310668945312
53,507.2412109375,-0.0
54,363.3846435546875,-0.0
55,308.6432800292969,-0.0
56,249.00729370117188,-0.0
57,189.4896697998047,-0.0
58,0.0,-0.0
59,0.0,-553.3034057617188
60,0.0,-391.7628173828125
61,0.0,-316.2664794921875
62,0.0,-337.15789794921875
63,0.0,-304.92877197265625
64,0.0,-160.5137176513672
65,0.0,-34.27906799316406
66,305.0215148925781,-0.0
67,511.6458435058594,-0.0
68,300.6042175292969,-0.0
69,252.2196502685547,-0.0
70,112.86771392822266,-0.0
71,0.0,-0.0
72,0.0,-605.7569580078125
73,0.0,-546.1370849609375
74,0.0,-486.8101501464844
75,0.0,-342.1603088378906
76,0.0,-258.8376159667969
77,0.0,-159.47427368164062
78,0.0,-120.74040222167969
79,453.1416931152344,-85.03353881835938
80,704.9746704101562,-0.0
81,368.54974365234375,-0.0
82,231.8875732421875,-0.0
83,205.61505126953125,-0.0
84,156.00442504882812,-0.0
85,130.02911376953125,-0.0
86,0.0,-249.24583435058594
87,0.0,-333.53582763671875
88,0.0,-478.8150634765625
89,0.0,-527.113037109375
90,0.0,-367.28704833984375
91,0.0,-362.74298095703125
92,0.0,-260.87353515625
93,0.0,-195.2892608642578
94,0.0,-97.71272277832031
95,0.0,-0.0
96,245.8232879638672,-0.0
97,401.92608642578125,-0.0
98,295.2019958496094,-0.0
99,283.2065734863281,-0.0
100,88.124755859375,-197.14413452148438
101,0.0,-594.2598266601562
102,0.0,-524.8773193359375
103,0.0,-460.12750244140625
104,0.0,-379.9104309082031
105,0.0,-277.3215637207031
106,0.0,-211.6009521484375
107,0.0,-150.33912658691406
108,0.0,-43.475006103515625
109,775.9298095703125,-0.0
110,427.75262451171875,-0.0
111,276.9440002441406,-0.0
112,302.7862548828125,-0.0
113,186.15628051757812,-0.0
114,104.98773956298828,-0.0
115,0.0,-606.1597900390625
116,0.0,-512.6978149414062
117,0.0,-494.2994079589844
118,0.0,-398.0957946777344
119,0.0,-263.3956604003906
120,0.0,-184.3585662841797
121,0.0,-94.22423553466797
122,0.0,-58.23191452026367
123,490.51812744140625,-0.0
124,475.8639221191406,-0.0
125,430.9898986816406,-0.0
126,299.3199768066406,-0.0
127,148.7159881591797,-0.0
128,141.41204833984375,-0.0
129,0.0,-431.60186767578125
130,0.0,-447.20245361328125
131,0.0,-463.2937927246094
132,0.0,-432.8554992675781
133,0.0,-329.53338623046875
134,0.0,-310.82781982421875
135,0.0,-295.6220703125
136,0.0,-168.6907958984375
137,0.0,-100.00398254394531
138,429.4039306640625,-0.0
139,483.14556884765625,-0.0
140,427.0548400878906,-0.0
141,293.01678466796875,-0.0
142,236.81361389160156,-0.0
143,152.8260498046875,-0.0
144,88.40563201904297,-0.0
145,0.0,-332.525390625
146,0.0,-432.3148193359375
147,0.0,-458.54736328125
148,0.0,-298.47442626953125
149,0.0,-242.7391357421875
150,0.0,-243.44125366210938
151,0.0,-122.09468078613281
152,391.0159912109375,-4.350738525390625
153,527.8245239257812,-0.0
154,467.46875,-0.0
155,389.12994384765625,-0.0
156,186.31358337402344,-0.0
157,122.04444122314453,-0.0
158,0.0,-426.53961181640625
159,0.0,-415.18365478515625
160,0.0,-492.5877990722656
161,0.0,-402.81463623046875
162,0.0,-364.3095397949219
163,0.0,-225.97618103027344
164,0.0,-111.94952392578125
165,0.0,-35.492794036865234
166,478.28302001953125,-0.0
167,480.4276123046875,-0.0
168,390.9400939941406,-0.0
169,199.2156982421875,-0.0
170,152.5689697265625,-0.0
171,72.72590637207031,-0.0
172,0.0,-688.5814208984375
173,0.0,-433.1783447265625
174,0.0,-425.38140869140625
175,0.0,-386.6544189453125
176,0.0,-287.6850891113281
177,0.0,-183.96051025390625
178,0.0,-64.90525817871094
179,762.6423950195312,-0.0
180,512.2423706054688,-0.0
181,420.9543762207031,-0.0
182,341.74700927734375,-0.0
183,213.8814697265625,-0.0
184,134.43402099609375,-0.0
185,0.0,-449.3157043457031
186,0.0,-580.2080688476562
187,0.0,-434.558349609375
188,0.0,-357.3702392578125
189,0.0,-359.8050231933594
190,0.0,-233.7871551513672
191,0.0,-236.56654357910156
192,0.0,-156.46737670898438
193,0.0,-71.66896057128906
194,989.4651489257812,-0.0
195,486.5670166015625,-0.0
196,329.817626953125,-0.0
197,194.034912109375,-0.0
198,108.54286193847656,-0.0
199,0.0,-257.9871520996094
200,0.0,-488.8125
201,0.0,-490.0171203613281
202,0.0,-400.8553466796875
203,0.0,-252.8249969482422
204,0.0,-151.87255859375
205,0.0,-149.53451538085938
206,732.5366821289062,-21.72650146484375
207,581.7272338867188,-0.0
208,429.9162292480469,-0.0
209,273.3542785644531,-0.0
210,219.49327087402344,-0.0
211,145.58250427246094,-0.0
212,15.910831451416016,-222.0460205078125
213,0.0,-546.2225341796875
214,0.0,-500.4833679199219
215,0.0,-379.4076843261719
216,0.0,-334.9310302734375
217,0.0,-231.34185791015625
218,0.0,-170.38894653320312
219,0.0,-97.67631530761719
220,575.6485595703125,-0.0
221,437.5669860839844,-0.0
222,408.1561584472656,-0.0
223,274.397216796875,-0.0
224,227.18226623535156,-0.0
225,167.99989318847656,-0.0
226,42.41679763793945,-0.0
227,0.0,-976.378173828125
228,0.0,-527.7970581054688
229,0.0,-391.53509521484375
230,0.0,-356.7855529785156
231,0.0,-235.06739807128906
232,0.0,-121.86485290527344
233,0.0,-86.88762664794922
234,791.4146118164062,-0.0
235,489.2798767089844,-0.0
236,299.51007080078125,-0.0
237,273.6962890625,-0.0
